"Accession Number","Taxon Name","Current Germplasm Type","Collection Date","Latitude","Longitude","Locality","Collector","issues","source","index"
"1883356841","Magnolia acuminata (L.) L.","G","2018",43.766,39.7427,"Sochi Dendrarium",NA,"cdc,cdround,cudc","GBIF",20000
"3045019568","Magnolia acuminata (L.) L.","G","2013",63.434,10.671,NA,"Stephen Barstow","cdc","GBIF",20001
"3045016114","Magnolia acuminata (L.) L.","G","2012",63.434,10.671,NA,"Stephen Barstow","cdc","GBIF",20002
"3045017509","Magnolia acuminata (L.) L.","G","2012",63.434,10.671,NA,"Stephen Barstow","cdc","GBIF",20003
"574677867","Magnolia acuminata (L.) L.","G","2011",35.3715,-83.1304,"Highline Rd.","Unwin, Robert & Scott, Lesley","cdc,ambcol,inmafu","GBIF",20004
"574755918","Magnolia acuminata (L.) L.","G","2011",35.3715,-83.1304,"Highline Rd.","Unwin, Robert & Scott, Lesley","cdc,ambcol,inmafu","GBIF",20005
"574781040","Magnolia acuminata (L.) L.","G","2011",35.6949,-82.4001,"Blue Ridge Parkway. Craggy Gardens Picnic Site turn off.","Unwin, Robert & Scott, Lesley","cdc,ambcol,inmafu","GBIF",20006
"574714005","Magnolia acuminata (L.) L.","G","2010",37.0105,-81.1408,"Seven Sisiters Trail off Rt 717","South East USA Expedition (2010)","cdc,gass84,ambcol,inmafu","GBIF",20007
"574733850","Magnolia acuminata (L.) L.","G","2010",36.998,-81.1805,"Seven Sisiters Trail off Rt 717","South East USA Expedition (2010)","cdc,gass84,ambcol,inmafu","GBIF",20008
"3045022993","Magnolia acuminata (L.) L.","G","2008",63.434,10.671,NA,"Stephen Barstow","cdc","GBIF",20009
"3045025680","Magnolia acuminata (L.) L.","G","2007",63.434,10.671,NA,"Stephen Barstow","cdc","GBIF",20010
"574733699","Magnolia acuminata (L.) L.","G",NA,42.75,-80.4333,"Charlotteville Tp.",NA,"cdc,gass84,ambcol,inmafu","GBIF",20011
"2561516334","Magnolia acuminata (L.) L.","G",NA,49.2541,-123.2508,"UBC Botanical Garden",NA,"inmano","GBIF",20012
"2561517990","Magnolia acuminata (L.) L.","G",NA,49.2541,-123.2508,"UBC Botanical Garden",NA,"inmano","GBIF",20013
"3407144887","Magnolia acuminata (L.) L.","G",NA,51.6559,5.3023,NA,"Bomenstichting","cdc","GBIF",20014
"3407146280","Magnolia acuminata (L.) L.","G",NA,51.9967,5.4589,NA,"Bomenstichting","cdc","GBIF",20015
"3407146768","Magnolia acuminata (L.) L.","G",NA,52.1945,5.1221,NA,"Bomenstichting","cdc","GBIF",20016
"3407147563","Magnolia acuminata (L.) L.","G",NA,52.0342,5.3125,NA,"Bomenstichting","cdc","GBIF",20017
"3407150433","Magnolia acuminata (L.) L.","G",NA,52.9361,5.9623,NA,"Bomenstichting","cdc","GBIF",20018
"3407150449","Magnolia acuminata (L.) L.","G",NA,52.9356,5.9632,NA,"Bomenstichting","cdc","GBIF",20019
"3407151968","Magnolia acuminata (L.) L.","G",NA,52.1205,5.251,NA,"Bomenstichting","cdc","GBIF",20020
"3407152298","Magnolia acuminata (L.) L.","G",NA,51.8447,5.8406,NA,"Bomenstichting","cdc","GBIF",20021
"5064029416","Magnolia acuminata (L.) L.","H","2025",39.473,-79.7885,NA,"Kyle Aldinger","cdc,cdround","GBIF",20022
"5077139427","Magnolia acuminata (L.) L.","H","2025",36.2184,-84.0911,NA,"Matt Moore","cdc,cdround","GBIF",20023
"5087366343","Magnolia acuminata (L.) L.","H","2025",35.9383,-93.3821,NA,"Cheryl Hall","cdc,cdround","GBIF",20024
"5088022430","Magnolia acuminata (L.) L.","H","2025",39.7786,-78.936,NA,"Annie","cdc,cdround","GBIF",20025
"5088071992","Magnolia acuminata (L.) L.","H","2025",32.7435,-83.422,NA,"kgrieshop","cdc,cdround","GBIF",20026
"5167126774","Magnolia acuminata (L.) L.","H","2025",40.2282,-78.8625,NA,"cm2025","cdc,cdround","GBIF",20027
"5134211119","Magnolia acuminata (L.) L.","H","2025",36.0619,-85.6097,NA,"Eli S. Harris","cdc,cdround","GBIF",20028
"5134543805","Magnolia acuminata (L.) L.","H","2025",40.4334,-79.9238,NA,"evaelyse","cdc,cdround","GBIF",20029
"5134766826","Magnolia acuminata (L.) L.","H","2025",35.0074,-85.3683,NA,"emmie_e","cdc,cdround","GBIF",20030
"5135549333","Magnolia acuminata (L.) L.","H","2025",49.074,8.2907,"TK25 Blatt 6915/2 - Wörth am Rhein / Jockgrim","2047627890","cdc,cdround,gass84","GBIF",20031
"5140147429","Magnolia acuminata (L.) L.","H","2025",35.6992,-83.5095,NA,"Janet Wright","cdc,cdround","GBIF",20032
"5140509005","Magnolia acuminata (L.) L.","H","2025",40.6018,-73.7608,NA,"Misha Zitser","cdc,cdround","GBIF",20033
"5140592201","Magnolia acuminata (L.) L.","H","2025",37.315,-89.369,NA,"Pete Kozich","cdc,cdround","GBIF",20034
"5140651166","Magnolia acuminata (L.) L.","H","2025",37.5122,-89.3581,NA,"abelkinser","cdc,cdround","GBIF",20035
"5140739984","Magnolia acuminata (L.) L.","H","2025",37.5303,-89.2018,NA,"Christopher David Benda","cdc,cdround","GBIF",20036
"5140751061","Magnolia acuminata (L.) L.","H","2025",37.5484,-89.3093,NA,"Christopher David Benda","cdc,cdround","GBIF",20037
"5140806950","Magnolia acuminata (L.) L.","H","2025",36.8841,-81.5089,NA,"rinner_v_","cdc,cdround","GBIF",20038
"5141059861","Magnolia acuminata (L.) L.","H","2025",37.5144,-89.2294,NA,"Christopher David Benda","cdc,cdround","GBIF",20039
"5153164613","Magnolia acuminata (L.) L.","H","2025",40.201,-74.9182,NA,"conservationkate","cdc,cdround","GBIF",20040
