"Accession Number","Taxon Name","Current Germplasm Type","Collection Date","Latitude","Longitude","Locality","Collector","issues","source","index"
"574713468","Pinus ponderosa var. ponderosa","G",NA,41.2083,-120.1767,"off summit trail above Paterson Ranger Station","North Wales Arboretum; California 1996","cdc,gass84,ambcol,inmafu","GBIF",20000
"574730172","Pinus washoensis Mason & Stockw.","G",NA,41.2083,-120.1767,"South Warner Mtns, off summit trail above Paterson Ranger Station","North Wales Arboretum; California 1996","cdc,gass84,ambcol,inmafu","GBIF",20001
"574751035","Pinus washoensis Mason & Stockw.","G",NA,41.2083,-120.1767,"South Warner Mtns, off summit trail above Paterson Ranger Station","North Wales Arboretum; California 1996","cdc,gass84,ambcol,inmafu","GBIF",20002
"574753591","Pinus ponderosa var. ponderosa","G",NA,49.0333,-118.0833,NA,NA,"cdc,gass84,ambcol,inmafu","GBIF",20003
"574774665","Pinus washoensis Mason & Stockw.","G",NA,41.2083,-120.1767,"South Warner Mtns, off summit trail above Paterson Ranger Station","North Wales Arboretum; California 1996","cdc,gass84,ambcol,inmafu","GBIF",20004
"5006902297","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",37.8851,-122.2255,NA,"Ben Sims","cdc,cdround","GBIF",20005
"5063293749","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",43.7393,-122.3638,NA,"ehappy","cdc,cdround","GBIF",20006
"5063561100","Pinus ponderosa var. ponderosa","H","2025",43.7012,-116.2086,NA,"Gwen Gallagher","cdc,cdround","GBIF",20007
"5063612592","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",43.9971,-122.9801,NA,"prosecar","cdc,cdround","GBIF",20008
"5069779155","Pinus ponderosa var. ponderosa","H","2025",42.2892,-121.8768,NA,"Zoe Stephens","cdc,cdround","GBIF",20009
"5063831752","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",44.2066,-123.0136,NA,"ehappy","cdc,cdround","GBIF",20010
"5076853759","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",37.0487,-122.138,NA,"James Bailey","cdc,cdround","GBIF",20011
"5076943122","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",37.0868,-122.058,NA,"Chuck Wilson","cdc,cdround","GBIF",20012
"5077158576","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",45.3346,-122.7911,NA,"maclifton","cdc,cdround","GBIF",20013
"5133778593","Pinus ponderosa var. ponderosa","H","2025",45.341,-117.2238,NA,"Bryan M Maitland","cdc,cdround","GBIF",20014
"5087796425","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",35.8139,-121.2206,NA,"Leif Behrmann","cdc,cdround","GBIF",20015
"5133236955","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",44.066,-122.9092,NA,"Ed Alverson","cdc","GBIF",20016
"5133988061","Pinus ponderosa var. ponderosa","H","2025",45.6289,-117.7673,NA,"Sean Cozart","cdc,cdround","GBIF",20017
"5134446403","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",44.5373,-123.2847,NA,"James Mickley","cdc,cdround","GBIF",20018
"5140752902","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",44.2907,-122.9501,NA,"ehappy","cdc,cdround","GBIF",20019
"5154694428","Pinus ponderosa var. benthamiana (Hartw.) Vasey","H","2025",44.0216,-123.1566,NA,"petrelharp","cdc,cdround","GBIF",20020
"5198286129","Pinus ponderosa var. ponderosa","H","2025",45.2855,-117.7554,NA,"Matthew Cozart","cdc,cdround","GBIF",20021
"5198743142","Pinus ponderosa var. ponderosa","H","2025",45.2857,-117.757,NA,"Matthew Cozart","cdc,cdround","GBIF",20022
"5198998126","Pinus ponderosa var. ponderosa","H","2025",45.2848,-117.7519,NA,"Matthew Cozart","cdc,cdround","GBIF",20023
"5199079154","Pinus ponderosa var. ponderosa","H","2025",45.2855,-117.7559,NA,"Matthew Cozart","cdc,cdround","GBIF",20024
"5231051610","Pinus ponderosa var. ponderosa","H","2025",45.2833,-117.7412,NA,"Sean Cozart","cdc,cdround","GBIF",20025
"5230028756","Pinus ponderosa var. ponderosa","H","2025",45.298,-117.1997,NA,"Matthew Cozart","cdc,cdround","GBIF",20026
"5761179221","Pinus ponderosa var. ponderosa","H","2025",42.2246,-120.0972,NA,"ceramikat","cdc,cdround","GBIF",20027
"5205997782","Pinus ponderosa var. ponderosa","H","2025",45.5517,-116.7989,NA,"Matthew Cozart","cdc,cdround","GBIF",20028
"5206087823","Pinus ponderosa var. ponderosa","H","2025",45.5567,-116.8092,NA,"Matthew Cozart","cdc,cdround","GBIF",20029
"5206203791","Pinus ponderosa var. ponderosa","H","2025",45.5288,-116.7808,NA,"Matthew Cozart","cdc,cdround","GBIF",20030
"5206235765","Pinus ponderosa var. ponderosa","H","2025",45.5555,-116.8059,NA,"Matthew Cozart","cdc,cdround","GBIF",20031
"5206299808","Pinus ponderosa var. ponderosa","H","2025",45.5566,-116.8085,NA,"Matthew Cozart","cdc,cdround","GBIF",20032
"5206340778","Pinus ponderosa var. ponderosa","H","2025",45.5563,-116.8073,NA,"Matthew Cozart","cdc,cdround","GBIF",20033
"5206507785","Pinus ponderosa var. ponderosa","H","2025",45.552,-116.7976,NA,"Matthew Cozart","cdc,cdround","GBIF",20034
"5206524773","Pinus ponderosa var. ponderosa","H","2025",45.5517,-116.8003,NA,"Matthew Cozart","cdc,cdround","GBIF",20035
"5206701770","Pinus ponderosa var. ponderosa","H","2025",45.5514,-116.7956,NA,"Matthew Cozart","cdc,cdround","GBIF",20036
"5206811776","Pinus ponderosa var. ponderosa","H","2025",45.5519,-116.7966,NA,"Matthew Cozart","cdc,cdround","GBIF",20037
"5217068971","Pinus ponderosa var. ponderosa","H","2025",43.0063,-121.1347,NA,"Aaron Liston","cdc,cdround","GBIF",20038
"5229947810","Pinus ponderosa var. ponderosa","H","2025",45.3832,-117.032,NA,"Matthew Cozart","cdc,cdround","GBIF",20039
"5229947811","Pinus ponderosa var. ponderosa","H","2025",45.4801,-116.7534,NA,"Matthew Cozart","cdc,cdround","GBIF",20040
"5229948807","Pinus ponderosa var. ponderosa","H","2025",45.5501,-116.7924,NA,"Matthew Cozart","cdc,cdround","GBIF",20041
"5229955820","Pinus ponderosa var. ponderosa","H","2025",45.5302,-116.7818,NA,"Matthew Cozart","cdc,cdround","GBIF",20042
"5229966823","Pinus ponderosa var. ponderosa","H","2025",45.452,-116.983,NA,"Matthew Cozart","cdc,cdround","GBIF",20043
"5229977863","Pinus ponderosa var. ponderosa","H","2025",45.5333,-116.7844,NA,"Matthew Cozart","cdc,cdround","GBIF",20044
"5229981819","Pinus ponderosa var. ponderosa","H","2025",45.533,-116.784,NA,"Matthew Cozart","cdc,cdround","GBIF",20045
